serial,year_built,reg_date,previous,type,manufacturer,build_place,registration,notes,year_reg
25003,1970.0,1970.06.02,N8170J,Bell 47G-5,Bell Helicopter Company,"Fort Worth, TX, USA",OY-HAJ,"(N8170J), OY-HAJ, G-HWKI",1970-2024
208B0173,,2025.10.08,F-GXMP OO-JMP N4659B,Cessna 208B Grand Caravan,Cessna Aircraft Company,"Independence,KS, USA",OY-GWA,"N4659B, OO-JMP, F-GXMP, OY-GWA",2025
17262101,1973.0,1974.03.29,N12596,Cessna 172M Skyhawk,Cessna Aircraft Company,"Wichita, KS, USA",OY-ECE,"N12596, OY-ECE, exported",1974-2025
9139,2004.0,2005.01.12,C-FYZP,Bombardier BD-700-1A10 Global Express,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-CVS,"C-FYZP, OY-CVS Blue Aviation, (N939TS), VQ-BAM, M-GLEX, N764DB, N561RL",2005-2008
MU2B-36A-714S.A,1978.0,1991.03.27,N876MA,Mitsubishi MU-2N (MU-2B-36A),Mitsubishi Jukogyo Kabushiki Kaisha,"San Angelo, TX, USA",OY-CKF,"F-WWVW, N163J, OY-CKF Osterbro Aviation A/S, G-CGHI, N755BB, N991CE, N991CL",2006-2009
MU2B-36A-714S.A,1978.0,1991.03.27,N876MA,Mitsubishi MU-2N (MU-2B-36A),Mitsubishi Jukogyo Kabushiki Kaisha,"San Angelo, TX, USA",OY-CKF,"N876MA, (OY-CKF), OY-NIR, N994PE, N222FA",(1991)
F17201600,1977.0,1987.02.04,D-EOTA,Reims/Cessna F172N Skyhawk,Cessna Aircraft Company,"Reims, France",OY-BZE,"D-EOTA, OY-BZE, exported",1990-2025
28-7715160,1977.0,2009.09.08,SE-KFL N5962F,Piper PA-28-151 Cherokee Warrior,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-ZMB,"N5962F, SE-KFL, OY-ZMB Climb2, SE-KFL, D-ESSS",2009-2015
,,,Cancelled,,,,OY-1046,"D-MCBY, OY-1046",
,,,Cancelled,,,,OY-9896,OY-9896,
,,,Cancelled,,,,OY-9757,,
,,,Cancelled,,,,OY-9607,"OY-9607,",
,,,Cancelled,,,,OY-1040,"OY-1040, N664RW",-2025
U20601776,1972.0,1972.05.03,Cancelled 2016.10.27,Cessna U206E Stationair 6,Cessna Aircraft Company,"Wichita, KS, USA",OY-RYW,"(N9576G), OY-RYW, F-HNCM, DBR during an emergency landing near Seine-Maritime, France on 9. April 2017. The wreck stored in Caen, France (LFRK)",1972-2016
369,2022.0,2022.10.28,Cancelled 2024.10.29,Tecnam P2006T,"TECNAM S.r.l., Costruzioni Aeronautiche","Napoli, Italy",OY-FFS,"OY-FFS, EW-590LL, EW-590AL",2022-2024
21686,1978.0,1979.01.26,Cancelled 1981.04.24,Boeing 737-2L9,Boeing Company,"Renton, WA, USA",OY-APK,"OY-APK Maersk Air, Sterling, UR-DNC, UR-GBB, N102ES, YV-3001, FAE640",1997-2007
21686,1978.0,1979.01.26,Cancelled 1981.04.24,Boeing 737-2L9,Boeing Company,"Renton, WA, USA",OY-APK,"OY-APK Maersk, 9M-MBY, OY-APK, PP-SNK, OY-APK, PP-SNK, PT-WBC, EI-CHC, TF-ABU, ZS-NLN, V5-ANB, ZS-OKF, V5-ANB, Stored Johannesburg 2007, scrapped 2009","1979-1981 
1982-1982
1984-1984"
079,1988.0,1989.08.11,D-BATA (F-WWEE),Aeritalia/SNIAS ATR 42-300,Avions de Transport Regional,"Toulouse, France",OY-CID,"F-WWEE, D-BATA, OY-CID Cimber Air, EI-SLB, VH-TOQ, VH-YWU, P2-KSW",1989-2004
,,,,,,,OY-APL (2),"OY-APL Maersk Air, SP-LKK, OY-APL, N737RH, PK-TVZ, T7-CTA
(D-ATCE), T7-CTA, UR-SYR, YK-SUR","1998-2001, 
2004-2007"
1960,2003.0,2005.04.29,G-EFPA D-AVZG,Airbus A321-211,Airbus Industrie,"Hamburg/Finkenwerder, Germany",OY-VKD,"D-AVZG, G-EFPA, OY-VKD MyTravel Airways, Thomas Cook Airlines Scandinavia A/S, Sunclass Airlines, WFU and stored 2024 Ostrava, Cz Repl., LZ-FSI",2005-2024
0356,2000.0,2000.08.10,F-WWYJ,Airbus A330-343,Airbus Industrie,"Toulouse, France",OY-VKH,"F-WWYJ, OY-VKH Premiair, MyTravel Airways, Thomas Cook Airlines Scandinavia A/S, N356UK, T7-SRS, N804CM, TC-GOL",2000-2021
10838,2025.0,2025.10.29,N838SU,Cirrus SR 22,Cirrus Design Corporation,"Duluth, MN, USA",OY-UGG(2),"N838SU, OY-UGG(2)",2025
1316,2016.0,2025.05.12,ES-ATK CS-DJG F-WTDS F-WWEW,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-NZJ,"F-WWEV, F-WTDS, CS-DJG, ES-ATK, OY-NZJ, 3B-NCU",2025-2025
1165,2014.0,2014.08.08,F-WWEF,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-JZF,"F-WWEF, OY-JZF Jettime/SAS ""Skjalm Viking"", ES-ATD, OY-NZH, HK-5464",2014-2017
100-0083,2012.0,2025.08.15,N420Q,Daher Kodiak 100,Quest Aircraft Company,"Sandpoint, ID, USA",OY-ZCC,"N420Q, OY-ZCC",2025
46254,1973.0,1973.04.04,(D-KATJ),Scheibe SF 25B Falke,Scheibe Flugzeugbau GmbH,"Dachau, W.Germany",OY-XBK,"(D-KATJ), OY-XBK, D-KDGJ, damaged 1.3.1982 in a storm at Marl, Germany, ZS-UTK, V5-GUT",1973-1979
0349,2000.0,2000.07.24,F-WWYG,Airbus A330-343,Airbus Industrie,"Toulouse, France",OY-VKG,"F-WWYG, OY-VKG Premiair, MyTravel Airways, Thomas Cook Airlines Scandinavia A/S, Sunclass Airlines, N349UK, T7-ULS to be converted to freighter, N803CM, TC-GOU",2000-2021
12679,2025.0,2025.07.22,(D-AVZN),Airbus A321-251NX,Airbus Industrie,"Hamburg/Finkenwerder, Germany",OY-VKE(2),"D-AVZN, OY-VKE",2025 Sunclass
8077,2007.0,2009.08.04,C-FOBI,Bombardier CL-600-2B19 (Series 100) Challenger 850,Bombardier Inc Canada,"Mirabel, Montreal, Canada",OY-VGA,"C-FOBI, OY-VGA ExecuJet Europe A/S, 9H-VGA, 9H-SAR",2009-2018
342,2025.0,2025.08.28,Cancelled,Tecnam P2010 TDI,"TECNAM S.r.l., Costruzioni Aeronautiche","Napoli, Italy",OY-TEC,,2025
172S8190,1999.0,2008.04.30,N369LP,Cessna 172S Skyhawk SP,Cessna Aircraft Company,"Independence,KS, USA",OY-SSF,"N369LP, OY-SSF, D-EIOH, OK-DEF, OE-KWK",2008-2009
22226,1984.0,2015.04.21,N749AX N114 DL,Boeing 767-232SF,Boeing Company,"Everett, WA, USA",OY-SRT,"N114DL, N749AX, OY-SRT Star Air A/S, N749AX, WFU 2023",2015-2016
2011-06/313,2019.0,2025.08.07,Cancelled,EuropaClassic,Europa Aviation Ltd,"Hadsten, Denmark",OY-RAF,,2025
4697387,2008.0,2009.03.16,Cancelled 2010.06.18,Piper PA-46-500TP Malibu Meridian,"Piper Aircraft, Inc","Vero Beach, FL, USA",OY-PMM,"N9533N, OY-PMM Air Alpha Aircraft Sales A/S, D-ESOB, (D-FRAB), OK-RAB, OK-SRB, SP-MUE",2009-2010
6156,2020.0,2020.11.27,C-GUAW,Bombardier Challenger 604,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-LLG,"C-GUAW, OY-LLG, N585JP, N585PJ",2020-2024
,2008.0,2015.03.27,F-GVZT OY-CLV 4K-AZ65 FWWEH,Aeritalia/SNIAS ATR 72-212A,Avions de Transport Regional,"Toulouse, France",OY-JZV,"F-WWEH, 4K-AZ65, OY-CLV NAC Nordic Aviation Capital A/S, F-GVZT, OY-JZV NAC Aviation 8 Limited, Jettime ""Gudlög Viking"", OK-NFU, 9H-AIU, scrapped 2024",2015-2017
27094,1993.0,2015.08.10,N837AC UR-GAP OE-LNI,Boeing 737-4Z9,Boeing Company,"Renton, WA, USA",OY-JTM,"OE-LNI, UR-GAP, N837AC, OY-JTM Jettime, EI-STM, WFU St. Athan 2025, 2-ITSM",2015-2017
166,2002.0,2007.05.22,TC-DGC F-WWVD (N22259) F-WWVD,Dassault Falcon 2000,Dassault Aviation,"Merignac, France",OY-CKW,"F-WWVD, (N2259), F-WWVD, TC-DGC, OY-CKW Air Alsie A/S, F-WQBL, F-GVTC, (A6-SAF), OY-TJF Execujet Europe A/S, TC-RSN, T7-RSN, N926RC, N99RJ",2007-2008
BB-419,1979.0,1985.03.04,N256EN N555FP,Beech 200 Super King Air,Beech Aircraft Corporation,"Wichita, KS, USA",OY-BVB,"N555FP, N256EN, OY-BVB/UN454, Business Flight, Aviation Assistance, ZS-PPZ, 3B-",1985-2006
,,,,,,,OY-TEI (2),"N4432S, OY-TEI (2) RC Holding A/S",2015
,,,,,,,OY-XBM (1),"OY-XBM competition number 85, BM, D-0906, PH-1561",1973-2012
872,2008.0,2008.02.20,HB-FQD(9),Pilatus PC-12/47,Pilatus Flugzeugwerke AG,"Stans, Switzerland",OY-VIN,"HB-FQD(8), OY-VIN UAB ""ARVI"" ir Ko,  Lithauen, D-FSYB, 5X-KED, 5X-DBR",2008-2012
15282543,1979.0,1990.12.19,TF-FTG N69194,Cessna 152,Cessna Aircraft Company,"Wichita, KS, USA",OY-SUK,"N69194, TF-FTG, OY-SUK, G-CGSP, D-    , PH-CPS",1990-2011
4697456,2011.0,2020.01.09,C-GUSI C-GLER C-GTTU (N9548N),Piper PA-46-500TP Malibu Meridian,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-SCL,"N9548N, C-GTTU, C-GLER, C-GUSI, (OY-SCL) Skan Service, C-GUSI",(2020)
34-7350211,1973.0,2009.07.02,SE-GAD (SE-LCA) OH-PNE SE-GAD,Piper PA-34-200 Seneca,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-JBG,"SE-GAD, OH-PNE, (SE-LCA), SE-GAD, OY-JBG JEBO Gård, Center Flight ApS, PH-APF",2009-2023
31295,2010.0,2018.05.16,G-SNSB PH-EUD,AgustaWestland AW139,AgustaWestland,"Cascina Costa, Italy",OY-HFY,"PH-EUD, G-SNSB, OY-HFY, 5N-BVQ, G-SNSB, (PR-JHA), PH-EUD",2018-2018
4602033,,2024.05.16,N33FY,Piper PA-46-701P M700 Fury,"Piper Aircraft, Inc","Vero Beach, FL, USA",OY-FRY,"N33FY, OY-FRY",2024 R
,,,,,,,OY-FFA (2),"I-PDVF, OY-FFA Center Air",2025
10838,2025.0,2025.10.29,N838SU,Cirrus SR 22,Cirrus Design Corporation,"Duluth, MN, USA",OY-UGG(1),"N9551, N8028Q, OY-UGG, OE-KSN",2022-2022
211032,2025.0,2025.09.16,Cancelled,Schleicher ASK 21B,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-GEX,Competition number GE,2025
1339,2016.0,2021.12.17,EI-FSL F-WWEW,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-YDU,"F-WWEW, EI-FSL, OY-YDU, EI-FSL, G-CMFL",2021-2022
4451,2013.0,2023.08.15,SP-EQL C-GVWZ,DHC-8 Series 402NG,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-YGB,"C-GVWZ, SP-EQL, OY-YGB NAC, N4451B, JA472A",2023-2023
4443,2013.0,2023.08.09,SP-EQK C-GUIZ,DHC-8 Series 402NG,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-YGA,"C-GUIZ, SP-EQK, OY-YGA NAC, N4443B, JA471A",2023-2023
4422,2012.0,2023.05.12,(OY-YFZ) SP-EQF C-GPKS,DHC-8 Series 402NG,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-YFY(1),"C-GOCX, SP-EQE, (OY-YFY), OY-YFW(2), N4417F, JA468A",(2023)
4422,2012.0,2023.02.14,SP-EQF C-GPKS,DHC-8 Series 402NG,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-YFZ,"C-GUIT, SP-EQI, (OY-YFW), OY-YFZ NAC, N4442B, JA470A",2023 (R)
,,,,,,,OY-YFW (1),"C-GUIT, SP-EQI, (OY-YFW) NAC, OY-YFZ NAC, N4442B, JA470A",(2023)
1012,2014.0,2021.08.12,V2-LIK F-WWLU,Aeritalia/SNIAS ATR 42-500,Avions de Transport Regional,"Toulouse, France",OY-YDV,"F-WWLU, V2-LIK, OY-YDV, 2-YYDV, WFU 2024",2021-2022
4697147,2002.0,2002.12.19,(OY-PHB),Piper PA-46-500TP Malibu Meridian,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-LDA,"(OY-PHB),OY-LDA, UR-CCZV, N391CC, (D-EVER), D-FLYY, N391CC",2002-2008
15218,2009.0,2009.02.24,Cancelled 2016.12.21,Bombardier CL-600-2D24 RJ-900,Bombardier Inc Canada,"Mirabel, Montreal, Canada",OY-KFC,"SAS ""Bertil Viking"", damaged EKCH 4.2.2016, scrapped for spare parts in EKCH, fire-fighting exercise area, EKCH",2009-2016
1619,2001.0,2001.12.05,(SE-REK) (D-AVZB),Airbus A321-232,Airbus Industrie,"Finkenwerder, Germany",OY-KBL,"D-AVZB, (SE-REK), OY-KBL SAS ""Gunnbjörn Viking"", N995CM, to be converted to a freighter, SP-WCA",2001-2023
GA7-0095,,,N9527Z,Grumman GA-7 Cougar,Grumman American Aviation Corporation,"Savannah, GA, USA",OY-GAY,"N9527Z, (OY-GAY), G-BGON, canx by CAA 2025",
303,1957.0,1969.05.28,D-6424,Scheibe L-Spatz 55,Scheibe Flugzeugbau GmbH,"Krefeld, W.Germany",OY-FNX,"D-6424, OY-FNX, crashed 5.6.1970 Viborg, apperently rebuilt as D-6424, stored at Raná u Loun, Czech Republic by 2025",1969-1970
37,1967.0,1976.07.07,D-CADY (F-WNDC),Nord 262A-30,"Nord-Aviation, SNCA","Méaulte, France",OY-BLV,"F-WNDC, F-BNDC, D-CADY, OY-BLV Cimber Air, N275A, HK-3878X, N275A, TG-JSG, WFU at Guatemala City",1976-1978
6389,2014.0,2014.12.12,(D-AVXW),Airbus A321-211,Airbus Industrie,"Hamburg/Finkenwerder, Germany",OY-TCG(2),"D-AVXW, OY-TCG, Thomas Cook Airlines Scandinavia A/S, Sunclass Airlines, dameged in a hard landing in Skiatos, Greece (LGSK) 15.9.2024, Will be scrapped Tallinn, Estonia (EETN)",2014
,,,,,,,OY-XTM (2),"(D-6950), SE-TTK, OY-XTM, competition number TM, SP-4307, damaged 14.8.2025",1995-2024
4408,2012.0,2023.05.23,SP-EQC C-GMYD,DHC-8 Series 402NG,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-YFF,"C-GMYD, SP-EQC, OY-YFF, (G-EXTA), OY-YFF, N4408F, C-FIEK, JA467A",2023-2023
8857,2020.0,2022.07.15,LN-OXL F-WWPN,Airbus Helicopters H125 (AS 350B3e),Eurocopter S.A.,"Marignane, France",OY-HZN,"F-WWPN, LN-OXL, OY-HZN, Greenland Copter, ZK-HWD",2022-2025
364,2022.0,2022.08.25,Cancelled 2025.06.03,Tecnam P2006T,"TECNAM S.r.l., Costruzioni Aeronautiche","Napoli, Italy",OY-FFT,"OY-FFT, EW-596AL",2022-2025
F172-0485,1967.0,1968.08.14,Cancelled 2024.04.17,Reims/Cessna F172H Skyhawk,Cessna Aircraft Company,"Reims, France",OY-AGH,"OY-AGH, ER-AGH",1968-2024
,1977.0,1977.05.27,Cancelled 1996.04.22,Glasflügel 303 Mosquito,"Glasflügel, Ing. Eugen Hänle","Schlattstall, W.Germany",OY-XHF,"OY-XHF, competition number T7, SE-UTI, W/o 2025",1977-1996
,1960.0,1960.06.25,Cancelled 1974.06.10,Schleicher K 8B,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-VUX,"OY-VUX, LN-GAQ, SE-TXZ, CoA expired 2007, broken up in 2024",1960-1974
,,,Cancelled,,,,OY-9485,"OY-9485, + 8.8.25.Lille Høm near Ringsted",
,1945.0,1945.05.19,Cancelled 1953.06.27,Grunau Baby IIB,Schneider,"Hedehusene, Denmark",OY-68,"OY-68, OY-VAX, crashed. Cancelled 1972, OY-VAX, OK-8204",1945-1953
19000029,2006.0,2021.02.23,4L-MGT EI-GEG PK-KDA G-FBEA PT-SGD,EMBRAER ERJ 190-200LR (195LR),EMBRAER,"Sao José dos Campos, Brazil",OY-YDR,"PT-SGD, G-FBEA, PK-KDA, EI-GEG, 4L-MGT, OY-YDR, N19029, OE-LMN, 5N-CEF",2021-2022
22222,1983.0,2023.06.21,SE-RLB N745AX N110DL,Boeing 767-200BDSF,Boeing Company,"Everett, WA, USA",OY-RLB,"N110DL, N745AX, SE-RLB, OY-RLB Maersk Air Cargo / Star Air, N745AX,",2023-2025
24911,1991.0,1993.03.30,(PH-AHC) (PH-OZB) PT-WBJ PP-SOJ (TC-AGA),Boeing 737-4Y0,Boeing Company,"Renton, WA, USA",OY-MBK,"(TC-AGA), PP-SOJ, PT-WBJ, (PH-OZB), (PH-ACH), OY-MBK Maersk Air, EI-CIX, SE-DTB ""Jämtland"", OK-TVS, HA-LKA, OK-TVS, PK-LIQ, DBR 2.11.2010 Supadio",1993-1993
27337,1994.0,1994.03.28,Cancelled 1996.04.24,Boeing 737-3L9,Boeing Company,"Renton, WA, USA",OY-MAP,"OY-MAP Maersk Air, D-ADBI, G-IGOU, LN-KKU, N581MS, PK-CKJ, wfu stored Guanghzhou, China",1994-1996
2251,1973.0,2012.05.11,OO-MAN G-BAOI,SOCATA MS.880B Rallye Club,SOCATA,"Tarbes, France",OY-MAH,"G-BAOI, OO-MAN, OY-MAH, LZ-PTC",2012-2024
D4.340,2008.0,2009.11.12,SE-LYR OE-VPT,Diamond DA 40 D Diamond Star,Diamond Aircraft Industries GmbH,"Wiener Neustadt, Austria",OY-LYR,"SE-LYR, (OY-LYR), SE-LYR, OY-LYR, VT-VSP","(2009)
2013-2023"
7152,2011.0,2011.04.27,(F-WJXF),Eurocopter AS 350B3+ Ecureuil,Eurocopter S.A.,"Marignane, France",OY-HUD,"F-WJXF, OY-HUD Air Greenland A/S, N715MQ, C-FJFV",2011-2024
47657,1975.0,1988.03.30,SE-DFN HB-ISN,McDonnell Douglas DC-9-51,McDonnell Douglas Corporation,"Long Beach, CA, USA",OY-CTB,"HB-ISN, SE-DFN, OY-CTB SAS ""Ingvar Viking"", I-SMEJ, N2248F, UR-BYL, 4L-GNN, WFU Tblisi 2012",1988-1990
667,2007.0,2013.03.20,4K-AZ52 F-WWLA,Aeritalia/SNIAS ATR 42-500,Avions de Transport Regional,"Toulouse, France",OY-CLO,"F-WWLA, 4K-AZ52, OY-CLO NAC Aviation, PK-JKG, M-ABRS, PK-YSQ",2013-2013
,,2006.03.20,Cancelled NTU,Piper PA-34 Seneca,Piper Aircraft Corporation,,OY-CKS,"G-BEFI, B-12/OT-ALL, G-BEFI, OY-CKS COWI A/S, F-HPXA",2008-2025
012A,1986.0,1990.11.08,YU-ALK VH-AQC (F-WWEC),Aeritalia/SNIAS ATR 42-300,Avions de Transport Regional,"Toulouse, France",OY-CIF,"F-WWEI, VH-AQC, YU-ALL, OY-CIF Cimber Air, F-WQBT, LY-ARI, SX-GRY, LY-ARI, WFU Kaunas 2024",1990-1996
21685,1978.0,1979.01.19,Cancelled 1980.04.01,Boeing 737-2L9,Boeing Company,"Renton, WA, USA",OY-APJ,"OY-APJ Maersk, 9M-MBZ, OY-APJ, G-BKAP, OY-APJ, PP-SNO, PT-WBA, EI-CGZ, UR-BFA, PK-RIF, stored Jakarta CGK/VIII 2006, PK-MDC, broken up 2025","1979-1980, 
1982-1982,
1984-1984"
,,,Cancelled,,,,OY-9493,"D-MSDY, OY-9493",
40274,2015.0,2025.08.27,(2-TWCA) A6-FEY,Boeing 737-8KN,Boeing Company,"Renton, WA, USA",OY-JYC,"A6-FEY, 2-TWCA, OY-JYC",2025T
185,1972.0,2021.09.16,D-0588,Schempp-Hirth Standard Cirrus,Schempp-Hirth Flugzeugbau GmbH,"Kirchheim unter Teck, Germany",OY-XXG,"D-0588, OY-XXG",2021-2025
8-182B106,2000.0,2005.,HB-2347,DG-800B,Glaser-Dirks Flugzeugbau,"Bruchsal, Germany",OY-XWA,"HB-2347, (OY-XWA), HB-2347, W/O 11.6.22 Mont Tendre",(2023)
R18201624,1980.0,2007.02.09,D-ESHH(2) N6144S (D-ESTE) N6144S,Cessna R182 Skylane RG,Cessna Aircraft Company,"Wichita, KS, USA",OY-VBG,"N6144S, (D-ESTE), N6144S, D-ESHH(2), OY-VBG, N570EC, N404XX",2007-2010
166,2002.0,2011.01.18,F-GVTC F-WQBL OY-CKW TC-DGC F-WWVD (N22259) F-WWVD,Dassault Falcon 2000,Dassault Aviation,"Merignac, France",OY-TJF,"F-WWVD, (N22259), F-WWVD, TC-DGC, OY-CKW Air Alsie A/S, F-WQBL, F-GVTC, (A6-SAF), OY-TJF Execujet Europe A/S, TC-RSN, T7-RSN, N926RC, N99RJ",2011-2012
1817,2021.0,2021.04.28,Cancelled 2024.03.04,Kubicek BB42Z,Balóny Kubícek,"Brno-Malomérice , Czech Republic",OY-NOO,"OY-NOO, OK-1929",2021-2024
D4.359,2008.0,2010.06.29,SE-MBH (OE-VDR) (D-ECCL(2)),Diamond DA 40 D Diamond Star,Diamond Aircraft Industries GmbH,"Wiener Neustadt, Austria",OY-NBH,"OE-VDR, (D-ECCL(2)), SE-MBH, OY-NBH Kobbelair, stored in Aalborg, transported to Roskilde 13.3.2021, OO-SKE(2)",2010-2024
18-3216,1952.0,2025.07.07,OO-ACG N66AG OO-ACG OL-L42 L-142 53-4816,Piper PA-18-95 Super Cub (L-18C),Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-LDB,"53-4186, L-142, OL-L42, OO-ACG, N66AG, OO-ACG, OY-LDB",2025
0435,2001.0,2001.11.29,(F-WWJU),Airbus A340-313,Airbus Industrie,"Toulouse, France",OY-KBA,"F-WWJU, OY-KBA SAS ""Adalstein Viking"", wfu 11.2020 Pinal Airpark, AZ, B/U 2022",2001-2022
24464,1989.0,2007.04.18,RP-C4010 EI-BZE,Boeing 737-3Y0,Boeing Company,"Renton, WA, USA",OY-JTB,"EI-BZE, RP-C4010, OY-JTB Jettime, G-TGPG, WFU 2022",2007-2017
,,,,,,,OY-JSW (1),"N510PS, OY-JSW Staus A/S, C-FIPN, N69BA, N799AJ",2012-2015
10905,2007.0,2007.04.02,Cancelled 2023.09.11,Cameron N-77,Cameron Balloons Ltd,"Bristol, UK",OY-JOH,"OY-JOH, OO-BRB(2)",2007-2023
FR172K0616,1977.0,1999.09.22,D-EIPI,Reims/Cessna FR172K Hawk-XP,Cessna Aircraft Company,"Reims, France",OY-IPI,"D-EIPI, OY-IPI, G-YIPI, D-",1999-2003
4062,2006.0,2006.04.04,Cancelled 2025.02.05,Eurocopter AS 350B3+ Ecureuil,Eurocopter S.A.,"Marignane, France",OY-HGP,"OY-HGP Air Greenland A/S, F-HRTL, EC-OPG",2006-2025
2570,1991.0,1996.05.20,C-FNJW N32FH,Aérospatiale AS 350B2 Ecureuil,Aérospatiale (SNIAS),"Marignane, France",OY-HGK,"N32FH, C-FNJW, OY-HGK Air Greenland  ""Attavik"", TF-HDK, C-FDMK, N",1996-2015
49039,2016.0,2016.10.20,I-EASO,AgustaWestland AW189,AgustaWestland,"Cascina Costa, Italy",OY-HFD(2),"I-EASO, OY-HFD Bel Air Aviation A/S, I-AWCU, RA-01698, HB-XLQ, OM-BYW",2016-2017
3649,1982.0,1987.06.21,N130S N3982M C-GTXA,Bell 206B3 Jet Ranger III,Bell Helicopter Company,"Forth Worth, TX, USA",OY-HDD,"N3982M, C-GTXA, N130S, OY-HDD Benair, G-CSHW",1987-2025
19000184,2008.0,2019.07.16,EI-GGA G-FBEL PT-SDS,EMBRAER ERJ 190-200LR (195LR),EMBRAER,"Sao José dos Campos, Brazil",OY-GDB(2),"PT-SDS, G-FBEL, EI-GGA, OY-GDB Great Dane Airlines, 4O-AOE",2019-2025
024,1986.0,1986.11.21,(F-WWEC),Aeritalia/SNIAS ATR 42-300,Avions de Transport Regional,"Toulouse, France",OY-CIC,"F-WWEC, OY-CIC Cimber Air, F-WQJL, SP-EEE, F-WQNE, EI-SLE, VH-TOX, Stored Brisbane 2022",1986-1999
B-160,1973.0,1986.04.03,N896SB (N806DR) N896DR N396DP N925B,Beech A100 King Air,Beech Aircraft Corporation,"Wichita, KS, USA",OY-CCS,"N925B, N396DP, N896DR, (N806DR), N896SB,  OY-CCS, N896SB, B/U",1986-1989
U-57,1969.0,1985.05.24,F-BSUZ N1173C,Beech 99 Airliner,Beech Aircraft Corporation,"Wichita, KS, USA",OY-BYU,"N1173C, F-BSUZ, OY-BYU Muk Air, TF-ELD, C-GNAL, N1036C, N203BH, C-GNAL, N799TS, C-",1985-1990
ME-352,1980.0,1980.08.14,EI-BHS,Beech 76 Duchess,Beech Aircraft Corporation,"Wichita, KS, USA",OY-BED,"EI-BHS, OY-BED North Flying, G-CBBF, WFU 2025",1980-1996
AA5A-0083,1976.0,1976.06.29,Cancelled 2009.02.18,Grumman AA-5A Cheetah,Grumman American Aviation Corporation,"Cleveland, OH, USA",OY-GAJ,"(N9583U), OY-GAJ, crashed",1976-2009
36716,2002.0,2002.08.07,Cancelled 2009.01.30,Diamond HK 36TC Super Dimona TC 100,Diamond Aircraft Industries GmbH,"Wiener Neustadt, Austria",OY-TXY,"OY-TXY competition number SY, SE-URG, PH-1721",2002-2009
,,,,,,,OY-FFA (1),"SE-KMC, OY-FFA, D-EIFA, OK-SMT, SP-KNT",1991-1992
1262,2015.0,2023.03.06,UR-RWB 2-MFIG 9M-FIG F-WWEN,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-YEJ,"F-WWEN, 9M-FIG, 2-MFIG, UR-RWB, OY-YEJ, PS-VPA, 9H-ALA,  SE-MNR",2023-2023
,,,,,,,OY-SFH (2),"LV-MAE (PC-6/B2-H2), (D-FHPK), N117SA, (conv. to PC-6/B2-H4) OY-SFH, I-PSFH, T7-SFH, S5-CEI, crashed 20.5.2017 at Aviosuperficie Cecina, Italy (LIQG), restored and is on display at Swiss transport museum, Luzern with false registration ""HB-FGE""",1996-2002
363,1973.0,1991.02.19,D-2153,Schempp-Hirth HS-4 Standard-Cirrus,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-XTH,"D-2153, OY-XTH, competition number TH",1991-2025
511/C,2020.0,2020.03.10,Cancelled 2025.04.01,Partenavia P.68C,Partenavia Costruzioni Aeronautiche,"Casoria, Italy",OY-VNS,"OY-VNS Bioflight, EI-HPG",2020-2025
016,1959.0,1976.05.21,D-EOPG 90+08 BD+392,Piaggio FW P.149D,"Piaggio & Cie, SpA","Bremen, W.Germany",OY-POT,"BD+392, 90+08, D-EOPG, OY-POT, PH-POT",1976-2025
1056,2012.0,2025.05.27,OE-LTJ ES-ATJ EI-GIV VT-CJX F-WWEQ,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-NZC,"F-WWEQ, VT-CJX, EI-GIV, ES-ATJ, OE-LTJ, OY-NZC, EC-OOP",2025-2025
4004C,1983.0,2019.03.25,F-HFAA OY-PJA N56562,Maule M-7-235 Super Rocket,Maule Air Inc,"Moultrie, GA, USA",OY-NAL,"N56562, OY-PJA, F-HFAA, OY-NAL, crashed 5-9-2024 Roskilde (EKRK)",2019-2025
