registration,type,manufacturer,year_built,serial,mtom,reg_date,category
LN-BGM,F172 M,Textron Aviation Inc.,1973,F172-1070,1043.00,21.02.1974,Fly
LN-BGO,A185F,Textron Aviation Inc.,1974,185-02437,1520.00,15.05.1975,Fly
LN-BGQ,PA-28-161,"Piper Aircraft, Inc.",1981,28-8116219,1055.00,28.08.1981,Fly
LN-BGR,150D,Textron Aviation Inc.,1964,150-60457,726.00,01.03.1974,Fly
LN-BGT,PA-28-151,"Piper Aircraft, Inc.",1974,28-7515208,1055.00,05.06.1975,Fly
LN-BGZ,PA-28RT-201,"Piper Aircraft, Inc.",1979,28R-7918251,1247.00,07.08.1995,Fly
LN-BIF,M62A,Fairchild Hiller Corporation,1944,T43-7228,1270.00,01.08.2002,Fly
LN-BIH,172B,Textron Aviation Inc.,1960,172-48149,998.00,21.08.1963,Fly
LN-BII,91B,SAAB-Scania AB,1954,91-284,1165.00,15.09.1983,Fly
LN-BIK,180H,Textron Aviation Inc.,1969,180-52105,1270.00,12.05.1970,Fly
LN-BIV,MFI-15-200A,SAAB-Scania AB,1976,15.801,1200.00,02.02.1977,Fly
LN-BLU,182P,Textron Aviation Inc.,1975,182-64129,1338.00,26.08.2009,Fly
LN-BMJ,EA 300/S,Extra Flugzeugproduktions- und Vertriebs GmbH,1994,22,820.00,11.12.2020,Fly
LN-BMU,F-51D,North American Aviation Inc.,1944,44-10753,5216.00,25.01.2022,Fly
LN-BNS,L-40 META SOKOL,Orlican Works,1958,150713,950.00,29.04.1996,Fly
LN-BOG,PC-12/47E,Pilatus Aircraft,2014,1486,4740.00,23.01.2024,Fly
LN-BSA,B200GT,Textron Aviation Inc.,2018,BY-311,5670.00,31.08.2018,Fly
LN-BSB,B200GT,Textron Aviation Inc.,2018,BY-312,5670.00,30.10.2018,Fly
LN-BSC,B200GT,Textron Aviation Inc.,2018,BY-324,5670.00,04.12.2018,Fly
LN-BSD,B200GT,Textron Aviation Inc.,2018,BY-325,5670.00,04.12.2018,Fly
LN-BSE,B200GT,Textron Aviation Inc.,2019,BY-329,5670.00,24.01.2019,Fly
LN-BSF,B200GT,Textron Aviation Inc.,2019,BY-330,5670.00,25.02.2019,Fly
LN-BSG,B200GT,Textron Aviation Inc.,2019,BY-332,5670.00,06.02.2019,Fly
LN-BSH,B200GT,Textron Aviation Inc.,2019,BY-333,5670.00,06.03.2019,Fly
LN-BSI,B200GT,Textron Aviation Inc.,2019,BY-334,5670.00,21.03.2019,Fly
LN-BSJ,B200GT,Textron Aviation Inc.,2019,BY-335,5670.00,03.04.2019,Fly
LN-BSP,Spitfire Mk. XVI,Vickers Supermarine Ltd.,1945,CBAF.IX4644,4309.00,25.01.2022,Fly
LN-BTA,Cessna FA 150 K,Textron Aviation Inc.,1970,0018,726.00,08.03.2019,Fly
LN-BWH,180H,Cessna Aircraft Company,1968,180-51995,1270.00,27.06.1969,Fly
LN-BWK,LUSCOMBE 8F SILVAIR,"Ebbesen, Reidar",1960,S-75,635.00,09.10.2015,Fly
LN-BWZ,FR172 J,Textron Aviation Inc.,1973,FR172-0374,1157.00,14.05.1973,Fly
LN-BAA,B200,Textron Aviation Inc.,1989,BB-1327,5670.00,04.10.2006,Fly
LN-CAD,C-80,Cameron Balloons LTD,2002,10309,726.00,20.01.2003,Ballong
LN-CAI,BB30Z,Balony Kubicek spol. s r.o,2008,582,945.00,19.05.2008,Ballong
LN-CBD,O-42,Cameron Balloons LTD,1975,183,381.00,25.05.1983,Ballong
LN-CBG,CAMERON V-77,Cameron Balloons LTD,1988,1694,703.00,27.04.1988,Ballong
LN-CBI,CAMERON V-77,Cameron Balloons LTD,1985,3635,703.00,20.11.1995,Ballong
LN-CBW,M-65,Ultramagic S.A,2011,65/186,638.00,24.08.2011,Ballong
LN-CBX,O-77,Cameron Balloons LTD,1986,1277,703.00,05.01.1996,Ballong
LN-CLB,BB34Z,Balony Kubicek spol. s r.o,0,652,1040.00,27.02.2009,Ballong
LN-CNL,N-90,Cameron Balloons LTD,1989,1927,816.00,20.03.2020,Ballong
LN-COM,V-90,Cameron Balloons LTD,1997,4096,816.00,19.08.2009,Ballong
LN-CPE,Z-120,Cameron Balloons LTD,2009,11319,1088.00,31.08.2009,Ballong
LN-CRB,BB26M,Kubíček Factory s.r.o.,2024,2309,730.00,22.07.2024,Ballong
LN-CSB,Ultramagic F-09,Ultramagic S.A,2014,09/02,770.00,13.03.2014,Ballong
