registration,type,construction_no,year_mfr,year_reg,icao,notes
OY-GEF (1),Beech 65-C90A King Air,LJ-1284,1991,1991-1996,BE9L,"OY-GEF, N25GA, OE-FHM, D-IFRT, LZ-HKB"
OY-CSE,Cessna 152,15282883,1979,1987-2008,C152,"N89824, OY-CSE, SP-KGL, HA-BID"
OY-BNN,Cessna 172RG  Cutlass RG,172RG0531,1980,1980-1982,C72R,"N5435V, OY-BNN, (D-EBNM), OY-BNN, D-EGAZ(4), UR-GLU"
OY-BIC,Piper PA-28-140 Cherokee,28-22807,1967,1976-1982,P28A,"SE-EZP, OY-BIC, G-NHRH, DBR30.5.16 Compton Abbas"
OY-WIT,SIAI Marchetti SF.260 WR,440,1978,2020,,"I-RAIG, Libyen AF 440 (5A), Burkina Faso Air Force BF8451 (XT), F-GUSF, OY-WIT"
OY-HHK,Rotorway Exec 162F,2010-09/6635,2020,2020,,
OY-FFX,SZD-9bis Bocian 1E,P-440,1968,1968-2020,,"Competition number 71. Dansk Svæveflyvehistorisk Klub, YU-"
OY-YDG,SNIAS ATR 42-500,457,1995,2020,AT45,"F-WWET, (G-ZAPJ), F-GPYA, SX-JOY, OY-YDG"
OY-JTS,Boeing 737-7K2,33465/1316,2003,2013-2020,B737,"PH-XRW, OY-JTS Jettime, OE-IAH, YR-BMR"
OY-SFA,SAAB 2000,026,1995,2014,SB20,"SE-026, HB-IZN, YR-SBB, OY-SFA Nordic Aviation Capital A/S, J-026 Pakistan Air Force"
OY-HRU,Schweizer 269C-1 (300CB),S.0224,2005,2020,H269,"N86G, F-HCBI, HB-ZLB, OY-HRU"
OY-KKR,Boeing 737-783,"28316
476",2000,2000-2005,B737,"N1786B, (LN-RPK), (OY-KKK), OY-KKR SAS ""Gjuke Viking"", LN-RNO, wfu and stored St. Athan, UK 2020, scrapped 9.2020"
OY-DMD,Morane MS.892A Rallye Commodore 150,10541,1965,1965-2013,RALL,"Damaged in a emergency landing 3.6.1970 Charlottenlund Strand. Cancelled by CAA. On display at Ryå Mejeri, Aabybro 9.2020"
OY-XZO,Hoffmann H-36 Dimona,3514,1983,1995-2011,DIMO,"N408DH, SE-UCK, OY-XZO (ZO), D-KGWL, wfu 2020"
OY-TXR,Schempp-Hirth Discus bT,76,1992,2012-2019,DISC,"BGA-3868/HDT, F-CJTT, OY-TXR, OE-9504, G-CLZH"
OY-MRS,Boeing 737-76N,"32737
1130",2002,2010-2012,B737,"EI-CXE, G-STRH, OY-MRS Cimber Sterling, EI-CXE, SE-REY, broken up 2019"
OY-JTY,Boeing 737-7Q8,"30727
1005",2001,2011-2020,B737,"N1787B, S7-SEZ, VT-SJE, OY-JTY Jet Time A/S, stored as OE-IOA, broken up 2020"
OY-HNN,Robinson R44 Clipper II,12154,2008,2008-2020,R44,"OY-HNN, OE-XPB"
OY-GAV,Grumman GA-7 Cougar,GA7-0057,1978,"1979-1990
2003-2005",GA7,"N770GA, OY-GAV, LN-ALY, EC-?, (OY-SVO), OY-GAV Sun-Air, G-CDND, D-GZBK"
OY-CPI,Cessna 172F Skyhawk,17252887,1965,1987-2020,C172,"N5357R, OY-CPI, (CS-), D-EFPI"
OY-CPA,Cessna 172P Skyhawk I,17275457,1982,1987-1988,C172,"N63625, OY-CPA, PH-TGH, D-EFMO, 4X-DAO"
OY-BER,Beech B200C Super King Air,BL-41,1981,1981-1984,BE20,"N3836E), OY-BER, N100QR, VH-HEO, VH-OYK, VH-LNJ(2), P2-LNJ, VH-PUY"
OY-,,,,,,
OY-JET (4),Cessna 680 Citation Sovereign,680-0067,2006,(2006),C680,"N5203S, (OY-JET), OY-WET Weibel Scientific A/S, N1QE"
OY-WET,Cessna 680 Citation Sovereign,680-0067,2006,2006-2020,C680,"N5203S, (OY-JET), OY-WET Weibel Scientific A/S, N1QE"
OY-RVR,Van´s RV-8,2002509,2014,2018-2020,RV8,"D-ERVI, OY-RVR, G-YELA"
OY-NAD,Canadair CL-600-2B19 Challenger 850,8052,2005,2007-2011,CRJ2,"C-FGQS, OY-NAD ExecuJet Europe A/S, OE-IZZ, TC-GHP"
OY-XEO,Schleicher Ka 2B Rhönschwalbe,223,1956,"1968-2003 
2018",,"D-5495, OY-XEO. CofA expired, OY-XEO, damaged during landing at Arnborg(EKAB)22.8.2020"
OY-XTW,Glaser-Dirks DG-500M,5E51 M23,1992,1992-1996,DG50,"OY-XTW, competition number TW, D-KBIO, OK-9800"
OY-XNC,Grob G-109,6033,1981,1984-2008,G109,"D-KAZE, OY-XNC, SE-UUD, PH-1604"
OY-XHU,Schempp-Hirth HS-2  Cirrus 18,6,1967,1977-2004,,"D-9319, OY-XHU, competition number T3, crashed 28.7.2002 near Tølløse Svæveflyveplads, OK-3737"
OY-XBG(2),Schleischer ASH 31 Mi,31019,2010,2020-2024,,"D-KKIA, OY-XBG/1X, D-"
OY-XBG(1),Glasflügel H-201B Standard Libelle,411,1973,1973-2000,,"OY-XBG, competition number 83, BGA 4848/JWV, G-CJWV, D-2345"
OY-PUP,Beagle B.121 Pup 2,121-105,1969,1995Reserved,,"G-AXNO, LN-HHC, (OY-PUP), G-"
OY-JEK,Piper PA-46-310P Malibu,8408030,1984,1991-2000,PA46,"N4337G, OY-JEK, HA-APR, N888CA"
